ETH/USDT >> ETH/BTC >>  BTC/USDT
ETH/USDT >> BNB/ETH >>  BNB/USDT
ETH/USDT >> BCC/ETH >>  BCC/USDT
ETH/USDT >> NEO/ETH >>  NEO/USDT
ETH/USDT >> LTC/ETH >>  LTC/USDT
ETH/USDT >> QTUM/ETH >>  QTUM/USDT
ETH/USDT >> ADA/ETH >>  ADA/USDT
ETH/USDT >> XRP/ETH >>  XRP/USDT
ETH/USDT >> EOS/ETH >>  EOS/USDT
ETH/USDT >> ETH/TUSD >>  TUSD/USDT
ETH/USDT >> IOTA/ETH >>  IOTA/USDT
ETH/USDT >> XLM/ETH >>  XLM/USDT
ETH/USDT >> ONT/ETH >>  ONT/USDT
ETH/USDT >> TRX/ETH >>  TRX/USDT
ETH/USDT >> ETC/ETH >>  ETC/USDT
ETH/USDT >> ICX/ETH >>  ICX/USDT
ETH/USDT >> VEN/ETH >>  VEN/USDT
ETH/USDT >> NULS/ETH >>  NULS/USDT
ETH/USDT >> VET/ETH >>  VET/USDT
ETH/USDT >> ETH/PAX >>  PAX/USDT
ETH/USDT >> ETH/USDC >>  USDC/USDT
ETH/USDT >> LINK/ETH >>  LINK/USDT
ETH/USDT >> WAVES/ETH >>  WAVES/USDT
ETH/USDT >> HOT/ETH >>  HOT/USDT
ETH/USDT >> ZIL/ETH >>  ZIL/USDT
ETH/USDT >> ZRX/ETH >>  ZRX/USDT
ETH/USDT >> BAT/ETH >>  BAT/USDT
ETH/USDT >> XMR/ETH >>  XMR/USDT
ETH/USDT >> ZEC/ETH >>  ZEC/USDT
ETH/USDT >> IOST/ETH >>  IOST/USDT
ETH/USDT >> CELR/ETH >>  CELR/USDT
ETH/USDT >> DASH/ETH >>  DASH/USDT
ETH/USDT >> NANO/ETH >>  NANO/USDT
ETH/USDT >> OMG/ETH >>  OMG/USDT
ETH/USDT >> THETA/ETH >>  THETA/USDT
ETH/USDT >> ENJ/ETH >>  ENJ/USDT
ETH/USDT >> MATIC/ETH >>  MATIC/USDT
ETH/USDT >> ATOM/ETH >>  ATOM/USDT
ETH/USDT >> ONE/ETH >>  ONE/USDT
ETH/USDT >> FTM/ETH >>  FTM/USDT
ETH/USDT >> ALGO/ETH >>  ALGO/USDT
ETH/USDT >> GTO/ETH >>  GTO/USDT
ETH/USDT >> NPXS/ETH >>  NPXS/USDT
ETH/USDT >> MTL/ETH >>  MTL/USDT
ETH/USDT >> DENT/ETH >>  DENT/USDT
ETH/USDT >> MFT/ETH >>  MFT/USDT
ETH/USDT >> KEY/ETH >>  KEY/USDT
ETH/USDT >> STORM/ETH >>  STORM/USDT
ETH/USDT >> DOCK/ETH >>  DOCK/USDT
ETH/USDT >> WAN/ETH >>  WAN/USDT
